NumberSimple,Agreement_with_EC
189,FALSE
190,FALSE
191,FALSE
192,FALSE
193,FALSE
198,FALSE
199,FALSE
200,FALSE
201,FALSE
202,TRUE
203,FALSE
204,FALSE
205,FALSE
206,FALSE
207,FALSE
208,FALSE
209,FALSE
210,FALSE
211,FALSE
212,FALSE
213,FALSE
214,FALSE
215,FALSE
216,FALSE
217,FALSE
218,FALSE
219,FALSE
220,FALSE
221,FALSE
222,FALSE
223,FALSE
224,FALSE
225,FALSE
227,FALSE
228,FALSE
230,FALSE
231,FALSE
232,FALSE
233,FALSE
234,FALSE
235,FALSE
236,FALSE
237,FALSE
238,FALSE
239,FALSE
240,FALSE
241,FALSE
242,FALSE
243,FALSE
244,FALSE
246,FALSE
247,FALSE
248,FALSE
249,FALSE
250,FALSE
251,FALSE
252,TRUE
253,FALSE
254,TRUE
255,FALSE
256,FALSE
257,FALSE
258,FALSE
259,FALSE
260,FALSE
261,FALSE
262,FALSE
263,FALSE
264,FALSE
265,FALSE
266,FALSE
267,FALSE
268,FALSE
269,FALSE
270,FALSE
271,FALSE
272,FALSE
273,FALSE
274,FALSE
275,FALSE
276,FALSE
277,FALSE
278,TRUE
279,FALSE
280,TRUE
282,FALSE
283,FALSE
284,FALSE
285,FALSE
286,FALSE
287,FALSE
288,FALSE
289,FALSE
290,FALSE
291,FALSE
292,FALSE
293,TRUE
300,TRUE
302,TRUE
303,TRUE
304,TRUE
305,TRUE
306,TRUE
307,TRUE
308,TRUE
309,TRUE
310,TRUE
311,TRUE
312,TRUE
313,TRUE
314,TRUE
315,TRUE
316,TRUE
317,TRUE
318,TRUE
319,TRUE
320,TRUE
321,TRUE
322,TRUE
323,TRUE
324,TRUE
325,TRUE
326,TRUE
327,TRUE
328,TRUE
329,TRUE
330,TRUE
331,TRUE
332,TRUE
333,TRUE
334,TRUE
335,TRUE
336,TRUE
337,TRUE
338,TRUE
339,TRUE
340,TRUE
341,TRUE
342,TRUE
343,TRUE
344,TRUE
345,TRUE
346,TRUE
347,TRUE
348,TRUE
349,TRUE
350,TRUE
351,TRUE
352,TRUE
353,TRUE
354,TRUE
355,TRUE
356,TRUE
357,TRUE
358,TRUE
359,TRUE
360,FALSE
361,FALSE
363,FALSE
364,FALSE
365,FALSE
366,FALSE
367,FALSE
370,FALSE
371,FALSE
372,FALSE
373,FALSE
374,FALSE
375,FALSE
376,FALSE
377,FALSE
379,FALSE
380,FALSE
382,FALSE
383,FALSE
384,FALSE
385,FALSE
386,FALSE
388,FALSE
389,FALSE
390,FALSE
391,FALSE
392,FALSE
393,FALSE
394,FALSE
395,FALSE
396,FALSE
398,FALSE
399,FALSE
400,FALSE
401,FALSE
402,FALSE
403,FALSE
404,FALSE
405,FALSE
406,FALSE
407,FALSE
408,FALSE
409,FALSE
410,FALSE
411,FALSE
412,FALSE
413,FALSE
414,FALSE
415,FALSE
416,FALSE
417,FALSE
418,FALSE
419,FALSE
421,FALSE
422,FALSE
423,FALSE
424,FALSE
425,FALSE
426,FALSE
427,FALSE
428,FALSE
429,FALSE
430,FALSE
431,FALSE
432,FALSE
433,FALSE
434,FALSE
435,FALSE
436,FALSE
437,FALSE
438,FALSE
439,FALSE
440,FALSE
441,FALSE
442,FALSE
443,FALSE
444,FALSE
445,FALSE
446,FALSE
447,FALSE
448,FALSE
449,FALSE
450,FALSE
451,FALSE
452,FALSE
453,FALSE
454,FALSE
455,FALSE
456,FALSE
457,FALSE
458,FALSE
459,FALSE
460,FALSE
461,FALSE
462,FALSE
463,FALSE
464,FALSE
465,FALSE
466,FALSE
467,FALSE
468,FALSE
469,FALSE
470,FALSE
471,FALSE
473,FALSE
474,FALSE
475,FALSE
476,FALSE
477,FALSE
478,FALSE
480,FALSE
481,FALSE
482,FALSE
483,FALSE
487,FALSE
488,FALSE
489,FALSE
490,FALSE
491,FALSE
492,FALSE
493,FALSE
494,FALSE
495,FALSE
496,FALSE
497,FALSE
498,FALSE
499,FALSE
500,FALSE
501,FALSE
502,FALSE
503,FALSE
504,FALSE
505,FALSE
506,FALSE
507,FALSE
508,FALSE
509,FALSE
510,FALSE
511,FALSE
512,FALSE
513,FALSE
514,FALSE
515,FALSE
516,FALSE
517,FALSE
518,FALSE
519,FALSE
520,FALSE
521,FALSE
522,FALSE
523,FALSE
524,FALSE
525,FALSE
526,FALSE
527,FALSE
528,FALSE
529,FALSE
530,FALSE
531,FALSE
532,FALSE
533,FALSE
534,FALSE
535,FALSE
536,FALSE
537,FALSE
538,FALSE
539,FALSE
540,FALSE
541,FALSE
542,FALSE
543,FALSE
544,FALSE
545,FALSE
546,FALSE
547,FALSE
548,FALSE
549,FALSE
550,FALSE
551,FALSE
552,FALSE
553,FALSE
554,FALSE
555,FALSE
556,FALSE
557,FALSE
558,FALSE
559,FALSE
560,FALSE
561,FALSE
562,FALSE
564,FALSE
565,FALSE
566,FALSE
567,FALSE
568,FALSE
569,FALSE
570,FALSE
571,FALSE
572,FALSE
573,FALSE
574,FALSE
575,FALSE
576,FALSE
577,FALSE
578,FALSE
579,FALSE
580,FALSE
581,FALSE
582,FALSE
583,FALSE
584,FALSE
585,FALSE
586,FALSE
587,FALSE
588,FALSE
589,FALSE
590,FALSE
591,FALSE
592,FALSE
593,FALSE
594,FALSE
595,FALSE
596,FALSE
598,FALSE
599,FALSE
600,FALSE
601,FALSE
602,FALSE
603,FALSE
604,FALSE
605,FALSE
606,FALSE
607,FALSE
608,FALSE
610,FALSE
611,FALSE
612,FALSE
613,FALSE
615,FALSE
616,FALSE
617,FALSE
618,FALSE
619,FALSE
620,FALSE
621,FALSE
622,FALSE
623,FALSE
624,FALSE
625,FALSE
626,FALSE
627,FALSE
628,FALSE
629,FALSE
630,FALSE
631,FALSE
632,FALSE
633,FALSE
634,FALSE
635,FALSE
636,FALSE
637,FALSE
638,FALSE
639,FALSE
640,FALSE
641,FALSE
642,FALSE
643,FALSE
644,FALSE
645,FALSE
646,FALSE
647,FALSE
648,FALSE
649,FALSE
650,FALSE
651,FALSE
652,FALSE
653,FALSE
654,FALSE
655,FALSE
656,FALSE
657,FALSE
658,FALSE
659,FALSE
660,FALSE
661,FALSE
663,FALSE
664,FALSE
666,FALSE
667,FALSE
668,FALSE
669,FALSE
670,FALSE
671,FALSE
672,FALSE
673,FALSE
674,FALSE
675,FALSE
676,FALSE
677,FALSE
678,FALSE
679,FALSE
680,FALSE
681,FALSE
682,FALSE
683,FALSE
684,FALSE
685,FALSE
686,FALSE
687,FALSE
688,FALSE
689,FALSE
690,FALSE
691,FALSE
692,FALSE
693,FALSE
694,FALSE
695,FALSE
697,FALSE
698,FALSE
699,FALSE
700,FALSE
701,FALSE
702,FALSE
703,FALSE
705,FALSE
706,FALSE
707,FALSE
708,FALSE
709,FALSE
710,FALSE
711,FALSE
712,FALSE
714,FALSE
715,FALSE
716,FALSE
717,FALSE
723,FALSE
724,FALSE
725,FALSE
726,FALSE
727,FALSE
728,FALSE
729,FALSE
730,FALSE
731,FALSE
732,FALSE
733,FALSE
736,FALSE
740,FALSE
741,FALSE
742,FALSE
743,FALSE
744,FALSE
745,FALSE
746,FALSE
747,FALSE
750,FALSE
751,FALSE
752,FALSE
753,FALSE
754,FALSE
755,FALSE
756,FALSE
757,FALSE
758,FALSE
759,FALSE
760,FALSE
761,FALSE
762,FALSE
763,FALSE
764,FALSE
765,FALSE
766,FALSE
767,FALSE
768,FALSE
769,FALSE
770,FALSE
771,FALSE
772,FALSE
773,FALSE
774,FALSE
776,FALSE
777,FALSE
778,FALSE
779,FALSE
780,FALSE
781,FALSE
782,FALSE
783,FALSE
784,FALSE
785,FALSE
787,FALSE
788,FALSE
789,FALSE
790,FALSE
791,FALSE
792,FALSE
,
,
